,일시,총발전량(kWh),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),합계 일사량(w/m2)
381,2018-07-17,7018,21.2,31.4,0.0,1.2,83.9,14.4,27.52,4.0,7644.444444444444
382,2018-07-18,6780,21.4,32.4,0.0,1.3,78.3,14.4,26.14,0.0,7261.111111111111
383,2018-07-19,7071,21.2,32.0,0.0,1.5,78.4,14.4,28.3,0.0,7861.111111111111
384,2018-07-20,6871,21.7,33.5,0.0,1.5,75.1,14.3,27.81,0.0,7725.0
385,2018-07-21,6788,21.8,36.0,0.0,1.5,62.6,14.3,26.79,0.0,7441.666666666667
386,2018-07-22,5961,23.3,36.2,0.0,1.3,66.9,14.3,22.03,0.0,6119.444444444444
387,2018-07-23,6544,24.8,34.8,0.0,1.4,74.1,14.3,25.11,0.0,6975.0
388,2018-07-24,6012,23.8,32.6,0.0,1.1,0.0,14.3,8.04,0.0,2233.333333333333
389,2018-07-25,6082,26.4,32.0,0.0,3.0,80.1,14.2,24.15,0.0,6708.333333333333
390,2018-07-26,1402,25.4,33.0,0.0,1.6,82.5,14.2,22.73,0.0,6313.888888888889
391,2018-07-27,6194,25.4,34.9,0.0,1.4,82.0,14.2,20.92,0.0,5811.111111111111
392,2018-07-28,5641,24.2,34.9,0.0,1.3,83.1,14.2,22.76,0.0,6322.222222222223
393,2018-07-29,6277,26.0,35.4,0.0,2.3,62.1,14.1,26.45,0.0,7347.222222222223
394,2018-07-30,5253,25.1,36.5,0.0,2.0,60.4,14.1,26.97,0.0,7491.666666666667
395,2018-07-31,6417,25.4,36.5,0.0,2.0,61.6,14.1,27.27,0.0,7575.0
396,2018-08-01,6513,25.6,37.1,0.0,1.9,66.4,14.0,26.36,1.1,7322.222222222223
397,2018-08-02,6283,25.1,36.8,0.0,1.7,65.9,14.0,25.49,2.5,7080.555555555556
398,2018-08-03,6316,25.8,36.2,0.0,1.5,71.8,14.0,25.59,3.4,7108.333333333333
399,2018-08-04,4467,24.8,33.3,0.0,1.7,77.0,13.9,27.01,3.4,7502.777777777777
400,2018-08-05,5763,25.5,34.0,0.0,1.8,79.4,13.9,20.88,4.0,5800.0
401,2018-08-06,6468,25.6,33.8,0.0,1.5,79.5,13.9,20.5,4.6,5694.444444444444
402,2018-08-07,6283,25.5,34.7,0.0,1.6,77.1,13.9,21.15,3.6,5875.0
403,2018-08-08,6548,24.3,35.2,0.0,1.5,76.5,13.8,25.8,2.8,7166.666666666667
404,2018-08-09,4225,24.4,32.0,2.6,1.4,89.3,13.8,16.0,5.8,4444.444444444444
405,2018-08-10,6101,25.0,34.6,0.0,1.6,79.4,13.8,22.54,3.4,6261.111111111111
406,2018-08-11,6425,24.7,34.9,0.0,1.5,73.6,13.7,21.94,5.5,6094.444444444444
407,2018-08-12,5649,25.3,34.4,0.0,1.2,72.4,13.7,18.48,6.9,5133.333333333333
408,2018-08-13,4666,25.1,35.6,0.0,1.5,72.6,13.7,23.55,5.8,6541.666666666667
409,2018-08-14,5516,25.4,36.0,0.0,1.5,68.1,13.6,23.31,6.3,6475.0
410,2018-08-15,5863,25.1,37.0,0.0,1.6,71.4,13.6,21.81,4.0,6058.333333333333
411,2018-08-16,5723,25.1,36.5,0.0,2.3,61.9,13.6,23.45,4.9,6513.888888888889
412,2018-08-17,6458,22.2,32.7,0.0,3.0,49.4,13.5,26.9,0.9,7472.222222222223
413,2018-08-18,5852,20.4,31.4,0.0,2.0,55.5,13.5,24.59,4.8,6830.555555555556
414,2018-08-19,5144,19.9,31.7,0.0,1.2,72.0,13.5,18.96,6.6,5266.666666666667
415,2018-08-20,4419,20.7,31.7,0.0,3.1,71.3,13.4,19.95,6.0,5541.666666666667
416,2018-08-21,2821,22.6,29.9,15.5,2.4,88.5,13.4,9.42,7.1,2616.6666666666665
417,2018-08-22,5461,22.6,36.5,0.0,2.2,70.9,13.3,25.43,4.4,7063.888888888889
418,2018-08-23,1693,24.5,32.7,9.9,2.8,72.9,13.3,7.96,9.9,2211.1111111111113
419,2018-08-24,2550,22.6,26.7,10.8,3.4,92.8,13.3,8.24,5.4,2288.8888888888887
420,2018-08-25,3422,19.7,26.9,0.0,1.4,87.6,13.2,10.51,7.6,2919.4444444444443
421,2018-08-26,1679,19.1,23.4,11.4,1.7,92.0,13.2,8.16,8.8,2266.6666666666665
422,2018-08-27,1284,19.7,26.9,65.8,1.5,95.8,13.2,8.37,8.5,2324.9999999999995
423,2018-08-28,1854,23.7,27.1,20.2,2.2,97.3,13.1,6.8,9.3,1888.888888888889
424,2018-08-29,4152,24.5,28.5,0.0,3.8,88.8,13.1,14.33,8.4,3980.5555555555557
425,2018-08-30,3919,24.1,30.2,7.5,2.5,92.1,13.1,16.77,7.6,4658.333333333333
426,2018-08-31,4648,19.6,27.0,13.1,1.2,88.8,13.0,14.56,7.1,4044.4444444444443
427,2018-09-01,6032,18.6,30.0,0.0,1.8,71.6,13.0,24.43,2.5,6786.111111111111
428,2018-09-02,5019,19.6,29.8,0.0,1.6,69.8,13.0,20.19,5.1,5608.333333333333
429,2018-09-03,2411,22.3,28.0,25.2,1.5,90.9,12.9,8.72,9.1,2422.222222222222
430,2018-09-04,5995,18.9,26.8,0.0,2.5,79.8,12.9,24.11,2.6,6697.222222222223
431,2018-09-05,5962,16.6,28.0,0.0,1.7,77.5,12.8,23.05,0.8,6402.777777777777
432,2018-09-06,3623,18.1,27.7,0.0,2.5,86.8,12.8,11.92,7.3,3311.1111111111113
433,2018-09-07,4282,15.1,24.5,6.2,2.3,76.1,12.8,17.2,7.1,4777.777777777777
434,2018-09-08,5900,12.6,26.2,0.0,1.6,73.1,12.7,24.21,0.0,6725.0
435,2018-09-09,5860,13.3,26.0,0.0,1.3,74.0,12.7,24.06,0.8,6683.333333333333
436,2018-09-10,4236,15.1,27.1,0.0,1.8,65.6,12.6,23.34,1.5,6483.333333333333
437,2018-09-11,4471,15.3,24.5,0.0,1.7,62.4,12.6,17.78,5.5,4938.888888888889
438,2018-09-12,5556,15.7,27.3,0.0,1.5,67.9,12.6,23.09,3.8,6413.888888888889
439,2018-09-13,3392,19.0,26.5,0.0,1.5,78.5,12.5,11.5,8.9,3194.4444444444443
440,2018-09-14,1971,19.7,24.9,3.9,2.1,85.8,12.5,7.67,8.5,2130.5555555555557
441,2018-09-15,980,20.2,23.6,3.7,1.4,94.6,12.4,6.08,9.3,1688.888888888889
442,2018-09-16,1864,19.4,23.7,0.5,0.9,91.5,12.4,6.06,9.8,1683.3333333333333
443,2018-09-17,5419,15.4,25.9,0.1,1.1,79.4,12.4,22.54,4.4,6261.111111111111
444,2018-09-18,4549,13.6,27.5,0.0,1.0,74.4,12.3,18.99,6.9,5275.0
445,2018-09-19,2284,15.8,24.1,0.0,0.7,77.8,12.3,7.01,9.5,1947.2222222222222
446,2018-09-20,456,17.9,21.2,2.0,2.2,87.5,12.3,6.15,10.0,1708.3333333333333
447,2018-09-21,815,16.3,21.5,40.2,1.5,93.6,12.2,6.71,8.9,1863.888888888889
448,2018-09-22,5035,14.7,26.2,0.1,1.4,77.4,12.2,21.24,2.3,5900.0
449,2018-09-23,3988,13.3,25.1,0.8,1.7,75.4,12.1,15.96,4.5,4433.333333333333
450,2018-09-24,5192,10.8,22.2,0.0,1.6,73.3,12.1,21.57,1.6,5991.666666666667
451,2018-09-25,4735,8.8,23.0,0.0,1.3,67.1,12.1,21.59,2.8,5997.222222222223
452,2018-09-26,4162,14.6,23.8,0.0,2.1,65.0,12.0,18.6,4.5,5166.666666666667
453,2018-09-27,3765,11.8,23.8,0.0,1.7,66.0,12.0,21.09,0.1,5858.333333333333
454,2018-09-28,2137,11.8,21.5,0.0,1.0,73.6,12.0,8.35,7.1,2319.4444444444443
455,2018-09-29,4615,12.1,25.9,0.0,1.2,72.4,11.9,20.4,0.8,5666.666666666667
456,2018-09-30,4374,13.0,21.2,0.0,3.1,65.1,11.9,19.4,1.1,5388.888888888889
457,2018-10-01,2832,10.0,19.7,5.2,2.4,76.0,11.8,12.02,7.3,3338.8888888888887
458,2018-10-02,4507,9.1,21.0,0.0,0.9,79.4,11.8,14.73,1.9,4091.6666666666665
459,2018-10-03,4647,7.9,23.3,0.0,0.9,72.3,11.7,20.25,0.9,5625.0
460,2018-10-04,4393,10.3,24.9,0.0,1.7,67.1,11.7,18.5,5.4,5138.888888888889
461,2018-10-05,727,15.2,18.9,32.9,2.6,92.0,11.7,2.74,9.9,761.1111111111111
462,2018-10-06,1565,13.7,22.6,94.6,3.7,90.9,11.6,7.0,6.3,1944.4444444444443
463,2018-10-07,4503,10.6,21.0,0.0,1.7,70.6,11.6,18.95,2.0,5263.888888888889
464,2018-10-08,3646,7.0,20.6,0.0,1.1,70.5,11.6,16.26,3.1,4516.666666666667
465,2018-10-09,2319,7.7,20.7,0.0,1.3,65.0,11.5,11.02,8.4,3061.1111111111113
466,2018-10-10,3723,7.5,16.9,4.4,3.7,59.4,11.5,14.31,6.0,3975.0
467,2018-10-11,3872,5.5,15.6,0.0,2.2,61.1,11.5,17.7,7.0,4916.666666666667
468,2018-10-12,4432,3.6,17.2,0.0,1.1,74.4,11.4,18.7,0.1,5194.444444444444
469,2018-10-13,4001,3.6,19.0,0.0,1.0,70.9,11.4,18.23,1.3,5063.888888888889
470,2018-10-14,3860,4.7,19.5,0.0,0.9,73.1,11.3,15.65,6.4,4347.222222222223
471,2018-10-15,3442,7.2,21.6,0.0,0.9,82.9,11.3,14.54,4.1,4038.8888888888887
472,2018-10-16,3026,8.1,20.4,0.0,1.1,75.6,11.3,12.41,5.9,3447.222222222222
473,2018-10-17,4052,5.1,18.8,0.0,1.2,74.9,11.2,17.35,0.6,4819.444444444444
474,2018-10-18,2730,4.5,18.0,2.8,1.6,79.1,11.2,15.46,3.1,4294.444444444444
475,2018-10-19,4028,6.3,18.6,0.0,1.5,72.0,11.1,17.56,0.5,4877.777777777777
476,2018-10-20,3939,4.7,21.2,0.0,0.8,72.5,11.1,17.25,2.3,4791.666666666667
477,2018-10-21,3670,4.7,20.7,0.0,1.0,70.6,11.1,16.76,1.5,4655.555555555556
478,2018-10-22,2724,7.1,19.6,0.0,0.7,77.3,11.0,11.15,6.6,3097.222222222222
479,2018-10-23,2164,6.5,18.1,3.1,1.5,86.8,11.0,9.53,5.1,2647.222222222222
480,2018-10-24,3796,4.7,19.6,0.0,0.9,78.3,11.0,14.63,1.6,4063.8888888888887
481,2018-10-25,3324,4.8,20.6,0.0,1.1,69.5,10.9,15.38,3.5,4272.222222222223
482,2018-10-26,966,9.2,15.9,7.2,3.0,77.6,10.9,4.44,8.0,1233.3333333333333
483,2018-10-27,2455,7.2,13.8,1.1,3.7,59.1,10.9,12.89,4.6,3580.5555555555557
484,2018-10-28,2337,6.0,17.8,1.7,3.0,71.5,10.8,8.06,6.8,2238.888888888889
485,2018-10-29,2204,3.1,14.0,0.1,2.2,71.4,10.8,9.89,6.0,2747.222222222222
486,2018-10-30,3503,0.1,12.2,0.0,1.3,71.3,10.8,13.28,3.4,3688.8888888888887
